-0.375	0.135	0.072	-0.074	0.186	-0.124	0.268	0.118	0.729	-0.307	0.255	-0.065	
-0.381	0.111	0.068	0.033	  0.1	-0.192	-0.224	-0.219	 0.19	0.572	-0.415	-0.395	
0.338	-0.15	-0.079	-0.114	 0.66	-0.489	-0.368	-0.081	0.041	-0.14	0.007	0.078	
-0.378	0.151	0.001	-0.066	0.152	-0.031	-0.234	0.171	-0.28	0.376	0.685	0.183	
-0.143	-0.061	-0.72	0.055	-0.029	-0.165	0.043	0.435	-0.174	-0.134	-0.036	-0.43	
-0.19	-0.287	-0.586	0.085	0.063	0.137	0.129	-0.434	 0.18	0.167	-0.038	0.492	
-0.325	-0.308	0.188	 0.04	0.231	0.239	-0.17	0.567	-0.015	-0.049	-0.42	 0.35	
0.124	0.554	-0.212	-0.125	0.415	0.638	-0.12	-0.04	0.024	-0.054	-0.095	-0.093	
0.352	-0.232	0.052	-0.051	0.313	0.098	 0.58	0.254	0.078	0.529	0.084	-0.124	
-0.365	0.112	0.135	-0.081	0.336	-0.16	0.512	-0.258	-0.53	-0.232	-0.165	-0.001	
0.144	0.595	-0.13	-0.022	-0.151	-0.402	0.161	0.265	 0.05	 0.18	-0.255	0.476	
0.044	0.123	0.062	0.969	 0.18	-0.01	0.024	0.001	-0.006	-0.033	0.076	-0.01	
